sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,allow_individual_quote_request,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,features,gallery,gift_message_available,gift_wrapping_available,gift_wrapping_price,has_options,image,image_label,isspecial,is_quotation,is_returnable,key_specs,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,pdf,pdf_like,price,prod_type,quotation_id,regarding_lead_time,related_tgtr_position_behavior,related_tgtr_position_limit,required_options,short_description,small_image,small_image_label,specialends,special_from_date,special_price,special_to_date,srt,status,tax_class_id,thumbnail,thumbnail_label,unspsc,updated_at,upsell_tgtr_position_behavior,upsell_tgtr_position_limit,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_label,_media_position,_media_is_disabled,_custom_option_store,_custom_option_configurator_header,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_unspsc,_custom_option_row_sort,_model_Num,_option_title,_option_row_title,_option_row_price,_option_row_sku,Discontinued,Navigation_category,Selected_Configurations_row_title,Selected_Configurations_row_price,Selected_Configurations_row_sku,Selected_Configurations_row_qty,Selected_Configurations_row_sort,Add_to_Cart_Flag,Configuration_Flag
E36311A,default,Default,simple,Power Supplies,,base,1,,,,2026-06-10 17:33:47,,,,,"Keysight E36311A is a clean, reliable, and affordable triple output DC power supply.",,,,,,,,,,,1,,,Keysight,,"Keysight E36311A is a clean, reliable, and affordable triple output DC power supply.",,"Triple Output DC Power Supply, 80W",,,,,"Triple Output DC Power Supply, 80W",,,,,,,,,,,,,,"Keysight E36311A is a clean, reliable, and affordable triple output DC power supply.",,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,80w-triple-output-power-supply,/us/en/product/E36311A/80w-triple-output-power-supply.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E36311A,,,,,False,Products,,,,,,0,0
10072A,default,Default,simple,Probes,Keysight,base,1,,,,2021-02-08T04:22:32.192-07:00,,,,,Probe fine-pitch ICs with the ten included IC clips and two dual-lead adapters that connect to 10080 family probes.,,,,,,,,,,,1,,,Keysight,,Probe fine-pitch ICs with the ten included IC clips and two dual-lead adapters that connect to 10080 family probes.,"10072A,surface,mount,smt,probe,ic,clips,clip,accessories,10072a,10072,oscilloscope",10072A Surface Mount Clip Kit,,,,,10072A Surface Mount Clip Kit,,,,,,,,,,,,,,Probe fine-pitch ICs with the ten included IC clips and two dual-lead adapters that connect to 10080 family probes.,,,,,,,,Enabled,,,,,2021-02-08T04:22:32.192-07:00,,,surface-mount-clip-kit,/us/en/product/10072A/surface-mount-clip-kit.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10072A,,,,,False,Products,,,,,,0,0
N5181A,default,Default,simple,Signal Generators,,base,1,,,,2026-06-10 17:33:47,,,,,Keysight N5181A MXG analog signal generator delivers excellent reliability and performance.,,,,,,,,,,,1,,,Keysight,,Keysight N5181A MXG analog signal generator delivers excellent reliability and performance.,,"MXG Analog Signal Generator, 250 kHz to 3 or 6 GHz",,,,,"MXG Analog Signal Generator, 250 kHz to 3 or 6 GHz",,,,,,,,,,,,,,Keysight N5181A MXG analog signal generator delivers excellent reliability and performance.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,mxg-analog-signal-generator,/us/en/product/N5181A/mxg-analog-signal-generator.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5181A,,,,,False,Products,,,,,,0,0
10070C,default,Default,simple,Probes,Keysight,base,1,,,,2021-02-08T04:22:32.192-07:00,,,,,The Keysight 10070C 20 MHz passive probe is a great choice if you are looking for high quality at a very reasonable price...,,,,,,,,,,,1,,,Keysight,,The Keysight 10070C 20 MHz passive probe is a great choice if you are looking for high quality at a very reasonable price...,"Discontinued,10070C,Passive Probe  1:1  20 MHz  1.5 m","10070C Passive Probe, 1:1, 20 MHz, 1.5 m [Obsolete]",,,,,"10070C Passive Probe, 1:1, 20 MHz, 1.5 m [Obsolete]",,,,,https://www.keysight.com/us/en/assets/7018-06695/technical-overviews/5968-8153.pdf,https://www.keysight.com/us/en/assets/7018-06695/technical-overviews/5968-8153.pdf,,,,,,,,The Keysight 10070C 20 MHz passive probe is a great choice if you are looking for high quality at a very reasonable price...,,,,,,,,Enabled,,,,,2021-02-08T04:22:32.192-07:00,,,passive-probe-11-20-mhz-15-m,/us/en/product/10070C/passive-probe-11-20-mhz-15-m.html,"Catalog, Search",,0,1,1,0,0,1,1,1,,1,0,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070C,,,,,True,Products,,,,,,0,0
10020A,default,Default,simple,Probes,Keysight,base,1,,,,2021-02-08T04:22:32.192-07:00,,,,,The Keysight 10020A Resistive Divider Probe Kit is a signal probing system for measuring fast-transition-time signals...,,"Oscilloscopes Real-Time Oscilloscopes — General Purpose Real-Time Oscilloscopes — Compliance Equivalent-Time Sampling Oscilloscopes Handheld, Modular, and USB Oscilloscopes Oscilloscope Software Oscilloscope Probes All Oscilloscopes; Real-Time Oscilloscopes — General Purpose; Real-Time Oscilloscopes — Compliance; Equivalent-Time Sampling Oscilloscopes; Handheld, Modular, and USB Oscilloscopes; Oscilloscope Software; Oscilloscope Probes; Analyzers Spectrum Analyzers (Signal Analyzers) Network Analyzers Logic Analyzers Protocol Analyzers and Exercisers Bit Error Ratio Testers Noise Figure Analyzers and Noise Sources High-Speed Digitizers and Multichannel Data Acquisition Solutions AC Power Analyzers DC Power Analyzers Materials Test Equipment Device Current Waveform Analyzers Parameter / Device Analyzers and Curve Tracers; Spectrum Analyzers (Signal Analyzers); Network Analyzers; Logic Analyzers; Protocol Analyzers and Exercisers; Bit Error Ratio Testers; Noise Figure Analyzers and Noise Sources; High-Speed Digitizers and Multichannel Data Acquisition Solutions; AC Power Analyzers; DC Power Analyzers; Materials Test Equipment; Device Current Waveform Analyzers; Parameter / Device Analyzers and Curve Tracers; Meters Digital Multimeters (DMM) Phase Noise Measurement Power Meters and Power Sensors Counters LCR Meters and Impedance Measurement Products Picoammeters and Electrometers; Digital Multimeters (DMM); Phase Noise Measurement; Power Meters and Power Sensors; LCR Meters and Impedance Measurement Products; Picoammeters and Electrometers; Generators, Sources, and Power Supplies Signal Generators (Signal Sources) Waveform and Function Generators Arbitrary Waveform Generators Pulse Generator Products HEV / EV / Grid Emulators and Test Systems DC Power Supplies Source / Measure Units DC Electronic Loads AC Power Sources; Signal Generators (Signal Sources); Waveform and Function Generators; Arbitrary Waveform Generators; Pulse Generator Products; HEV / EV / Grid Emulators and Test Systems; DC Power Supplies; Source / Measure Units; DC Electronic Loads; AC Power Sources; Software EDA Software Instrument Measurement Software Instrument Workflow Software Software Testing All Design and Test Software; EDA Software; Instrument Measurement Software; Instrument Workflow Software; Software Testing; Wireless Channel Emulators IoT Regulatory Compliance Solutions Wireless Drive Test Radio Access and Core Network Test Wireless Analyzers Wireless Network Emulators 5G NR Base Station Test Over-The-Air Test; Channel Emulators; IoT Regulatory Compliance Solutions; Wireless Drive Test; Radio Access and Core Network Test; Wireless Analyzers; Wireless Network Emulators; 5G NR Base Station Test; Over-The-Air Test; Modular Instruments PXI Products AXIe Products Data Acquisition Systems (DAQ) USB Products VXI Products Reference Solutions All Modular Instruments; PXI Products; AXIe Products; Data Acquisition Systems (DAQ); USB Products; VXI Products; Reference Solutions; Network Test and Security Application and Threat Intelligence Cloud Test Cyber Training Simulator Network Test Hardware Synthetic Traffic Generators (New) Protocol and Load Test Network Security Test Network Modeling All Network Security; Application and Threat Intelligence; Cyber Training Simulator; Network Test Hardware; Synthetic Traffic Generators (New); Protocol and Load Test; Network Security Test; Network Modeling; Network Visibility Bypass Switches Clock Synchronization Cloud Visibility Network and Application Monitoring Network Packet Brokers Network Taps All Network Visibility; Bypass Switches; Clock Synchronization; Cloud Visibility; Network and Application Monitoring; Network Packet Brokers; Network Taps; Services Support Services Managed Services Financial Alternatives All Services; Support Services; Managed Services; Financial Alternatives; Additional Products In-Circuit Test Systems Application-Specific Test Systems and Components Parametric Test Solutions Photonic Test and Measurement Products Laser Interferometers and Calibration Systems Monolithic Laser Combiners and Precision Optics MMIC Millimeter-Wave and Microwave Devices; In-Circuit Test Systems; Application-Specific Test Systems and Components; Parametric Test Solutions; Photonic Test and Measurement Products; Laser Interferometers and Calibration Systems; Monolithic Laser Combiners and Precision Optics; MMIC Millimeter-Wave and Microwave Devices",,,,,,,,,1,,,Keysight,,The Keysight 10020A Resistive Divider Probe Kit is a signal probing system for measuring fast-transition-time signals...,"10020A,10020a,probe,discontinued,10020,HP10020A",10020A Resistive Divider Probe Kit [Obsolete],,,,,10020A Resistive Divider Probe Kit [Obsolete],,,,,https://www.keysight.com/us/en/assets/7018-06782/data-sheets/5968-7141.pdf,https://www.keysight.com/us/en/assets/7018-06782/data-sheets/5968-7141.pdf,,,,,,,,The Keysight 10020A Resistive Divider Probe Kit is a signal probing system for measuring fast-transition-time signals...,,,,,,,,Enabled,,,,,2021-02-08T04:22:32.192-07:00,,,resistive-divider-probe-kit,/us/en/product/10020A/resistive-divider-probe-kit.html,"Catalog, Search",,0,1,1,0,0,1,1,1,,1,0,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10020A,,,,,True,Products,,,,,,0,0
33512B,default,Default,simple,Waveform Generators,,base,1,,,,2026-06-10 17:33:56,,,,,Keysight 33512B 2-channel waveform generator offers standard Trueform technology for high fidelity waveforms.,,,,,,,,,,,1,,,Keysight,,Keysight 33512B 2-channel waveform generator offers standard Trueform technology for high fidelity waveforms.,,"Trueform Waveform Generator, 20 MHz, 2-Channel",,,,,"Trueform Waveform Generator, 20 MHz, 2-Channel",,,,,,,,,,,,,,Keysight 33512B 2-channel waveform generator offers standard Trueform technology for high fidelity waveforms.,,,,,,,,Enabled,,,,,2026-06-10 17:33:56,,,trueform-waveform-generator-20mhz-2ch,/us/en/product/33512B/trueform-waveform-generator-20mhz-2ch.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33512B,,,,,False,Products,,,,,,0,0
33521B,default,Default,simple,Waveform Generators,,base,1,,,,2026-06-10 17:33:56,,,,,Keysight 33521B 30 MHz arbitrary waveform generator provides advanced signal generation features.,,,,,,,,,,,1,,,Keysight,,Keysight 33521B 30 MHz arbitrary waveform generator provides advanced signal generation features.,,"Trueform Waveform Generator, 30 MHz, 1-Channel",,,,,"Trueform Waveform Generator, 30 MHz, 1-Channel",,,,,,,,,,,,,,Keysight 33521B 30 MHz arbitrary waveform generator provides advanced signal generation features.,,,,,,,,Enabled,,,,,2026-06-10 17:33:56,,,trueform-waveform-generator-30mhz-1ch,/us/en/product/33521B/trueform-waveform-generator-30mhz-1ch.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33521B,,,,,False,Products,,,,,,0,0
33522B,default,Default,simple,Waveform Generators,,base,1,,,,2026-06-10 17:33:58,,,,,Keysight 33522B arbitrary waveform generator features 30 MHz bandwidth with dual channel support.,,,,,,,,,,,1,,,Keysight,,Keysight 33522B arbitrary waveform generator features 30 MHz bandwidth with dual channel support.,,"Trueform Waveform Generator, 30 MHz, 2-Channel",,,,,"Trueform Waveform Generator, 30 MHz, 2-Channel",,,,,,,,,,,,,,Keysight 33522B arbitrary waveform generator features 30 MHz bandwidth with dual channel support.,,,,,,,,Enabled,,,,,2026-06-10 17:33:58,,,trueform-waveform-generator-30mhz-2ch,/us/en/product/33522B/trueform-waveform-generator-30mhz-2ch.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33522B,,,,,False,Products,,,,,,0,0
33500B,default,Default,simple,Waveform Generators,,base,1,,,,2026-06-10 17:33:58,,,,,Keysight 33500B Trueform arbitrary waveform generator offers 20 MHz bandwidth with unmatched signal integrity.,,,,,,,,,,,1,,,Keysight,,Keysight 33500B Trueform arbitrary waveform generator offers 20 MHz bandwidth with unmatched signal integrity.,,"Trueform Waveform Generator, 20 MHz, 1-Channel",,,,,"Trueform Waveform Generator, 20 MHz, 1-Channel",,,,,,,,,,,,,,Keysight 33500B Trueform arbitrary waveform generator offers 20 MHz bandwidth with unmatched signal integrity.,,,,,,,,Enabled,,,,,2026-06-10 17:33:58,,,trueform-waveform-generator,/us/en/product/33500B/trueform-waveform-generator.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33500B,,,,,False,Products,,,,,,0,0
33511B,default,Default,simple,Waveform Generators,,base,1,,,,2026-06-10 17:33:58,,,,,"Keysight 33511B waveform generator offers Trueform technology for clean, precise waveform generation.",,,,,,,,,,,1,,,Keysight,,"Keysight 33511B waveform generator offers Trueform technology for clean, precise waveform generation.",,"Trueform Waveform Generator, 20 MHz, 1-Channel, with Arbitrary Capabilities",,,,,"Trueform Waveform Generator, 20 MHz, 1-Channel, with Arbitrary Capabilities",,,,,,,,,,,,,,"Keysight 33511B waveform generator offers Trueform technology for clean, precise waveform generation.",,,,,,,,Enabled,,,,,2026-06-10 17:33:58,,,trueform-waveform-generator-20mhz-1ch,/us/en/product/33511B/trueform-waveform-generator-20mhz-1ch.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33511B,,,,,False,Products,,,,,,0,0
N5182B,default,Default,simple,Signal Generators,,base,1,,,,2026-06-10 17:33:58,,,,,Keysight N5182B MXG vector signal generator offers fine-tuned performance for high-speed testing.,,,,,,,,,,,1,,,Keysight,,Keysight N5182B MXG vector signal generator offers fine-tuned performance for high-speed testing.,,"MXG X-Series RF Vector Signal Generator, 9 kHz to 3 or 6 GHz",,,,,"MXG X-Series RF Vector Signal Generator, 9 kHz to 3 or 6 GHz",,,,,,,,,,,,,,Keysight N5182B MXG vector signal generator offers fine-tuned performance for high-speed testing.,,,,,,,,Enabled,,,,,2026-06-10 17:33:58,,,mxg-vector-signal-generator,/us/en/product/N5182B/mxg-vector-signal-generator.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5182B,,,,,False,Products,,,,,,0,0
33612A,default,Default,simple,Waveform Generators,,base,1,,,,2026-06-10 17:33:58,,,,,Keysight 33612A dual-channel Trueform generator provides premium signal purity and advanced functions.,,,,,,,,,,,1,,,Keysight,,Keysight 33612A dual-channel Trueform generator provides premium signal purity and advanced functions.,,"Trueform Waveform Generator, 80 MHz, 2-Channel",,,,,"Trueform Waveform Generator, 80 MHz, 2-Channel",,,,,,,,,,,,,,Keysight 33612A dual-channel Trueform generator provides premium signal purity and advanced functions.,,,,,,,,Enabled,,,,,2026-06-10 17:33:58,,,trueform-waveform-generator-80mhz-2ch,/us/en/product/33612A/trueform-waveform-generator-80mhz-2ch.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33612A,,,,,False,Products,,,,,,0,0
